,first_artist_id,second_artist_id
48,5ADZt1NEbf0ImRvacK9kDl,5KENAwkg6GClWnY28tokF8
49,6GebWeCCtey5pbQepRYD6c,7ikySCCJo3shAEZsoKEtVK
50,6GebWeCCtey5pbQepRYD6c,7MXzeG7zoG8pKpqKCOqcZL
51,6GebWeCCtey5pbQepRYD6c,7tEAlsvmuaVnKQyswnonem
52,6GebWeCCtey5pbQepRYD6c,7GVB7uYTgkeYtLJxYMYYDp
53,1Uk4IDpF1OIuTzANugS5JC,52I8HbScEEvgwiiSDaM7gP
54,1Uk4IDpF1OIuTzANugS5JC,7MXzeG7zoG8pKpqKCOqcZL
55,1Uk4IDpF1OIuTzANugS5JC,4LBa6kTLaQHiONCfTfTaXV
56,1Uk4IDpF1OIuTzANugS5JC,6GebWeCCtey5pbQepRYD6c
57,1Uk4IDpF1OIuTzANugS5JC,5cPNMq5lKAoAKyv5kdpz9s
58,1Uk4IDpF1OIuTzANugS5JC,7fMJN4fdEwmFWd8uz5pnKx
59,1Uk4IDpF1OIuTzANugS5JC,4ksdbwHbqSmv7sWP3W6L21
60,1Uk4IDpF1OIuTzANugS5JC,7ikySCCJo3shAEZsoKEtVK
61,1Uk4IDpF1OIuTzANugS5JC,3GAHYVHU0HppTq2qgzejcv
62,1Uk4IDpF1OIuTzANugS5JC,6Xhhpra0X0hpvC3yZaQ0Du
63,1Uk4IDpF1OIuTzANugS5JC,4MciZ3SoIaHGhBecweONHp
64,30qDNUnj7UYaiI59KnYbh0,3gNQSpKr5xvrDfqknSkaWc
65,30qDNUnj7UYaiI59KnYbh0,5ADZt1NEbf0ImRvacK9kDl
66,30qDNUnj7UYaiI59KnYbh0,6ilunSmiKHt6sXusLweMWI
67,30qDNUnj7UYaiI59KnYbh0,7lZh2XFOqO7ePMGacEIp13
68,30qDNUnj7UYaiI59KnYbh0,5KENAwkg6GClWnY28tokF8
69,6L7a6wPGpvLtTwOsMLnF1z,7IFPeV5Ew63S7Hid0AjNgK
70,6L7a6wPGpvLtTwOsMLnF1z,7E6DrjKJieOdJKO8mbwCMO
71,6L7a6wPGpvLtTwOsMLnF1z,6Xhhpra0X0hpvC3yZaQ0Du
72,6L7a6wPGpvLtTwOsMLnF1z,7fMJN4fdEwmFWd8uz5pnKx
73,6L7a6wPGpvLtTwOsMLnF1z,6qJ61DomA73g7jQEKESw9Z
74,0MwTAzU4fDGGfrUAHzYwRJ,5AVdeI8lS5HS9VGV8AUyS4
75,0MwTAzU4fDGGfrUAHzYwRJ,4MciZ3SoIaHGhBecweONHp
76,0MwTAzU4fDGGfrUAHzYwRJ,450u38hSRh0Q2UyghEbjpS
77,0MwTAzU4fDGGfrUAHzYwRJ,4WBnZbV6k0m7JUs7TPjY2N
78,0MwTAzU4fDGGfrUAHzYwRJ,5ezp2WTBB8rewVCdTKGO1F
79,0MwTAzU4fDGGfrUAHzYwRJ,6Czf2AVSww2aOhW4M6QNHT
80,0MwTAzU4fDGGfrUAHzYwRJ,7tEAlsvmuaVnKQyswnonem
81,0MwTAzU4fDGGfrUAHzYwRJ,60kSCaBM5uMKg7ZnrBH5br
82,0MwTAzU4fDGGfrUAHzYwRJ,4N5dAfqsjUgmluwrFoeuOb
83,0MwTAzU4fDGGfrUAHzYwRJ,5WVDwdJ6jhLHQ2PuRQz7Yc
84,0MwTAzU4fDGGfrUAHzYwRJ,4ksdbwHbqSmv7sWP3W6L21
85,0MwTAzU4fDGGfrUAHzYwRJ,7MXzeG7zoG8pKpqKCOqcZL
86,0MwTAzU4fDGGfrUAHzYwRJ,7GVB7uYTgkeYtLJxYMYYDp
87,0MwTAzU4fDGGfrUAHzYwRJ,303olBIixVXirStn7yhOZX
88,0MwTAzU4fDGGfrUAHzYwRJ,4by5ENA6ZMNCQkOX3RIh0G
89,4ksdbwHbqSmv7sWP3W6L21,7MXzeG7zoG8pKpqKCOqcZL
90,4ksdbwHbqSmv7sWP3W6L21,60kSCaBM5uMKg7ZnrBH5br
91,4ksdbwHbqSmv7sWP3W6L21,7GVB7uYTgkeYtLJxYMYYDp
92,4ksdbwHbqSmv7sWP3W6L21,52I8HbScEEvgwiiSDaM7gP
93,4ksdbwHbqSmv7sWP3W6L21,6GebWeCCtey5pbQepRYD6c
94,4ksdbwHbqSmv7sWP3W6L21,5AVdeI8lS5HS9VGV8AUyS4
95,4ksdbwHbqSmv7sWP3W6L21,7tEAlsvmuaVnKQyswnonem
96,4ksdbwHbqSmv7sWP3W6L21,7ikySCCJo3shAEZsoKEtVK
