song_id,artist_id
6rDs8YChnJPp9tm4lPkWxA,6qJ61DomA73g7jQEKESw9Z
5nc9LE05sm31dDadMn3HJC,6qJ61DomA73g7jQEKESw9Z
0n3vsu087yOQnBnwolN246,6qJ61DomA73g7jQEKESw9Z
1sb5TxidXaUuY5jQLC86Kg,6qJ61DomA73g7jQEKESw9Z
7KfbLxtEwC0qQhyVnrACKI,6qJ61DomA73g7jQEKESw9Z
2tH4MmOlCGTO9YLwpsgLOY,6qJ61DomA73g7jQEKESw9Z
6ho0TiwgDZo3LhvFE2Q2LW,6qJ61DomA73g7jQEKESw9Z
6jQafF3P0sLGfTBxYEV7xi,6qJ61DomA73g7jQEKESw9Z
58vv57UCYdwkNaviCkQuId,6qJ61DomA73g7jQEKESw9Z
6yk9C3HIvGuEfPSGjCU5ft,6qJ61DomA73g7jQEKESw9Z
5lxa3mGQYSuEzRPQG82Edy,6qJ61DomA73g7jQEKESw9Z
0Psns1RRGDMQ7PcnEoTOuE,6qJ61DomA73g7jQEKESw9Z
0Psns1RRGDMQ7PcnEoTOuE,1QaPX5gdnQtLOXdtkFnObx
5RjeqGm2GPq0oMeHMHwdaq,6qJ61DomA73g7jQEKESw9Z
6tMIp2iwOfDNYVP9ZRozxm,6qJ61DomA73g7jQEKESw9Z
7D3MDPUFTG0BG88Wsp4VN7,6C0KWmCdqrLU2LzzWBPbOy
7D3MDPUFTG0BG88Wsp4VN7,0wr85NuJuAYZsRzP1lJgiV
7D3MDPUFTG0BG88Wsp4VN7,6qJ61DomA73g7jQEKESw9Z
6vMeiOPul0oFZATalDUz30,6qJ61DomA73g7jQEKESw9Z
5Y30uGsg5xtByiKyA0OEoB,6M402lSr59FPt4ChG6Zho7
5Y30uGsg5xtByiKyA0OEoB,6qJ61DomA73g7jQEKESw9Z
3UJaCyCiERfPBcfIJbPzqr,6C0KWmCdqrLU2LzzWBPbOy
43KEFFfgdiQnh3m1luX5gR,6C0KWmCdqrLU2LzzWBPbOy
43KEFFfgdiQnh3m1luX5gR,2CREMC4YATn7Bx9ZQku6IH
4qOo1Keoi3XPSBzpVOUSSX,6C0KWmCdqrLU2LzzWBPbOy
4qOo1Keoi3XPSBzpVOUSSX,6L7a6wPGpvLtTwOsMLnF1z
0hF85b1g0YOWqRorVVUlkF,6L7a6wPGpvLtTwOsMLnF1z
0hF85b1g0YOWqRorVVUlkF,6C0KWmCdqrLU2LzzWBPbOy
3fT1Q3iNig1Rxy2Xpr224A,6C0KWmCdqrLU2LzzWBPbOy
3fT1Q3iNig1Rxy2Xpr224A,6ilunSmiKHt6sXusLweMWI
3fT1Q3iNig1Rxy2Xpr224A,5gfLje7A2I9mMRVfuiphnh
03shY44GfauTzF4uVsDZiV,6C0KWmCdqrLU2LzzWBPbOy
03shY44GfauTzF4uVsDZiV,2CREMC4YATn7Bx9ZQku6IH
2Ai0JEUm1XYMsOMWMHgnod,6C0KWmCdqrLU2LzzWBPbOy
11U6HnE7io3H6ifDxBBQfH,6L7a6wPGpvLtTwOsMLnF1z
11U6HnE7io3H6ifDxBBQfH,6C0KWmCdqrLU2LzzWBPbOy
3WK8iLgtVZHeTzvalP85uZ,6C0KWmCdqrLU2LzzWBPbOy
3WK8iLgtVZHeTzvalP85uZ,6qJ61DomA73g7jQEKESw9Z
4cxOD1bhalINrn4lw5FO6j,6C0KWmCdqrLU2LzzWBPbOy
4cxOD1bhalINrn4lw5FO6j,7MXzeG7zoG8pKpqKCOqcZL
0j0ZSAosTF7GmizmG5rsIs,6C0KWmCdqrLU2LzzWBPbOy
0j0ZSAosTF7GmizmG5rsIs,4j1Br3T2yrQIWd7LUip8t4
0bOFeg0VbNsscC0Kq4Ca5r,45eNHdiiabvmbp4erw26rg
0bOFeg0VbNsscC0Kq4Ca5r,7xklw3WodFZiNNmQt3DIgp
0bOFeg0VbNsscC0Kq4Ca5r,6C0KWmCdqrLU2LzzWBPbOy
2l97HApmO6hOSm2bTQTnks,6C0KWmCdqrLU2LzzWBPbOy
5QfEA7PkPHvsfaUILy0rRF,6C0KWmCdqrLU2LzzWBPbOy
2xTalVoSbGKciNMHDwmMG5,0wr85NuJuAYZsRzP1lJgiV
2xTalVoSbGKciNMHDwmMG5,6C0KWmCdqrLU2LzzWBPbOy
4MzEIsQjND2tLFpckD4k4i,6C0KWmCdqrLU2LzzWBPbOy
27uK1hfgaWRMN9i0nBUmBu,6C0KWmCdqrLU2LzzWBPbOy
1AjWr3eqVWrYD0cUB9buhr,6C0KWmCdqrLU2LzzWBPbOy
6rjoecA6i0ZuoIZTpg43Ic,6C0KWmCdqrLU2LzzWBPbOy
6rjoecA6i0ZuoIZTpg43Ic,7IFPeV5Ew63S7Hid0AjNgK
6WY0lMxGwHqOjZCROmXgs2,6C0KWmCdqrLU2LzzWBPbOy
6WY0lMxGwHqOjZCROmXgs2,4f0OXMMSxr0r8Ztx6CdpAl
6qCrLJQw4nU5rdcCrPLn18,6C0KWmCdqrLU2LzzWBPbOy
1eXX8Q2r7ooGjpliBjmPWM,6C0KWmCdqrLU2LzzWBPbOy
1PmHVrljyA6IkTQlccT49I,7fMJN4fdEwmFWd8uz5pnKx
1PmHVrljyA6IkTQlccT49I,0wr85NuJuAYZsRzP1lJgiV
1PmHVrljyA6IkTQlccT49I,6C0KWmCdqrLU2LzzWBPbOy
7ncY8UakidBjBmNJbAF7gu,6C0KWmCdqrLU2LzzWBPbOy
6PQtZnBw0hVwGXlm2WuMXb,7fMJN4fdEwmFWd8uz5pnKx
6PQtZnBw0hVwGXlm2WuMXb,0wr85NuJuAYZsRzP1lJgiV
6PQtZnBw0hVwGXlm2WuMXb,6C0KWmCdqrLU2LzzWBPbOy
4hGzsjO6k5QdvV2IKH7hu7,6C0KWmCdqrLU2LzzWBPbOy
1UvazVPCpKgZhGUXuSeAjh,6C0KWmCdqrLU2LzzWBPbOy
5lOWQJaxN6LLoCP5PhMlSx,7fMJN4fdEwmFWd8uz5pnKx
5lOWQJaxN6LLoCP5PhMlSx,6C0KWmCdqrLU2LzzWBPbOy
5lOWQJaxN6LLoCP5PhMlSx,0wr85NuJuAYZsRzP1lJgiV
5L4RbDabFNeGQ8zx4MFhNe,6C0KWmCdqrLU2LzzWBPbOy
01Hoi4LeodR5wdwhuRSw2g,6C0KWmCdqrLU2LzzWBPbOy
6Hs3yKCbLK3jHKs52KB5gz,6BrvowZBreEkXzJQMpL174
6Hs3yKCbLK3jHKs52KB5gz,6C0KWmCdqrLU2LzzWBPbOy
2MBCXahqoOQ5bCva4woBHm,6C0KWmCdqrLU2LzzWBPbOy
2MBCXahqoOQ5bCva4woBHm,1f3NYrlm9GpXxMz8XZGEP5
1X6yhvXH4ZAxEBm9qHuwks,6C0KWmCdqrLU2LzzWBPbOy
1X6yhvXH4ZAxEBm9qHuwks,1BAdSa5cdtCNLbvT7gWmtJ
5OtaAD9Ix0nOi5JYJL9mwm,6C0KWmCdqrLU2LzzWBPbOy
5OtaAD9Ix0nOi5JYJL9mwm,2wX6xSig4Rig5kZU6ePlWe
0BNMA8yjAmRbEa70HdDErH,6C0KWmCdqrLU2LzzWBPbOy
0BNMA8yjAmRbEa70HdDErH,4CrDEHL7ysNabeYvL3xjUX
7dsvtqGi9Jfi5mk7dtLrQx,6C0KWmCdqrLU2LzzWBPbOy
7dsvtqGi9Jfi5mk7dtLrQx,5DzNxD4vwCDEIa20oEzB9l
53pUTEL2BMBWC9rCvlD8he,6C0KWmCdqrLU2LzzWBPbOy
53pUTEL2BMBWC9rCvlD8he,1f3NYrlm9GpXxMz8XZGEP5
32bZ0yAvBJaiGdBYifGj2N,6C0KWmCdqrLU2LzzWBPbOy
7zBqwvvRkxjOwPKgZPNFlW,77AiFEVeAVj2ORpC85QVJs
7zBqwvvRkxjOwPKgZPNFlW,6C0KWmCdqrLU2LzzWBPbOy
7IRSm8zHnWjGSZ5XVpDI92,5DzNxD4vwCDEIa20oEzB9l
7IRSm8zHnWjGSZ5XVpDI92,6C0KWmCdqrLU2LzzWBPbOy
0v858HQX9lOyI7Jqvwk1yE,77AiFEVeAVj2ORpC85QVJs
0v858HQX9lOyI7Jqvwk1yE,6C0KWmCdqrLU2LzzWBPbOy
0v858HQX9lOyI7Jqvwk1yE,5DzNxD4vwCDEIa20oEzB9l
6pr8RpBxz7baGdNhrDFPTx,6C0KWmCdqrLU2LzzWBPbOy
6pr8RpBxz7baGdNhrDFPTx,5DzNxD4vwCDEIa20oEzB9l
6pr8RpBxz7baGdNhrDFPTx,3fuw7YuzQsHnxDrKMslMpG
3ZCj1bIMqpYmTxL3GwxKi9,6C0KWmCdqrLU2LzzWBPbOy
3ZCj1bIMqpYmTxL3GwxKi9,1qF8DC6uIBjskqP0hyw1Gk
1hxiEVPiDLAPn4vRasJkel,6cEuCEZu7PAE9ZSzLLc2oQ
1hxiEVPiDLAPn4vRasJkel,6C0KWmCdqrLU2LzzWBPbOy
7f99urFcwTbhzfQJ7J1NBN,77AiFEVeAVj2ORpC85QVJs
7f99urFcwTbhzfQJ7J1NBN,6C0KWmCdqrLU2LzzWBPbOy
6cmlZUM6JlfvbcFjjjzgYv,6C0KWmCdqrLU2LzzWBPbOy
6cmlZUM6JlfvbcFjjjzgYv,3oUP4RQHYSsAmxqJZljXqj
5ccW7ljtJQcQGmOwQkCxt9,6C0KWmCdqrLU2LzzWBPbOy
5ccW7ljtJQcQGmOwQkCxt9,5DzNxD4vwCDEIa20oEzB9l
2KENWGGKz1xU7LakfQ9GhC,6C0KWmCdqrLU2LzzWBPbOy
2KENWGGKz1xU7LakfQ9GhC,7BOCr0c0FIYAUjmRpiwjBV
3DuuVJ7GZr7yG3Z0r63U8I,0SfsnGyD8FpIN4U4WCkBZ5
3DuuVJ7GZr7yG3Z0r63U8I,33W1pnW9zScZtYTnAoWnOT
3DuuVJ7GZr7yG3Z0r63U8I,6C0KWmCdqrLU2LzzWBPbOy
3R79QrFCjaUizHf9vWB8ht,6C0KWmCdqrLU2LzzWBPbOy
6UqIzomR1kGKfS2Sc5YWEE,6C0KWmCdqrLU2LzzWBPbOy
6UqIzomR1kGKfS2Sc5YWEE,2rTo8KIkBTFjQS7VvaKYQ4
3cpQFGkwBSU8vV2rwxBPcZ,6C0KWmCdqrLU2LzzWBPbOy
519YKUUxehC0UtBla1P8SH,2rTo8KIkBTFjQS7VvaKYQ4
519YKUUxehC0UtBla1P8SH,6C0KWmCdqrLU2LzzWBPbOy
2hodw4u4zdNqeMShoxBaSG,6C0KWmCdqrLU2LzzWBPbOy
0sBo6jxgWmn0nngwpW1Dk5,6C0KWmCdqrLU2LzzWBPbOy
0sBo6jxgWmn0nngwpW1Dk5,0hHKtZEXHNsXfgrNgU7Zkl
